       ,1.wrd               ,2.wrd              ,3.wrd              ,4.wrd              ,5.wrd               ,6.wrd              ,7.wrd                 ,8.wrd              ,9.wrd              ,10.wrd              ,11.wrd             ,12.wrd             ,13.wrd               ,14.wrd             ,15.wrd            ,16.wrd              ,17.wrd             ,18.wrd              ,19.wrd             ,20.wrd            ,21.wrd               ,22.wrd            ,23.wrd            ,24.wrd             ,25.wrd            ,26.wrd            ,27.wrd            ,28.wrd             ,29.wrd             ,30.wrd             ,31.wrd             ,249.wrd              ,250.wrd            ,251.wrd             ,252.wrd            ,253.wrd            ,254.wrd            ,255.wrd            ,256.wrd            ,257.wrd             ,258.wrd            ,259.wrd            ,260.wrd             ,261.wrd             ,262.wrd            ,263.wrd              ,264.wrd            ,265.wrd            ,266.wrd            ,267.wrd            ,268.wrd            ,269.wrd             ,270.wrd            ,271.wrd            ,272.wrd            ,273.wrd            ,274.wrd            ,275.wrd            ,276.wrd            ,277.wrd            ,278.wrd            ,279.wrd            ,559.wrd            ,560.wrd             ,561.wrd             ,562.wrd             ,563.wrd             ,564.wrd            ,565.wrd            ,566.wrd            ,567.wrd            ,568.wrd            ,569.wrd             ,570.wrd            ,571.wrd             ,572.wrd            ,573.wrd            ,574.wrd             ,575.wrd            ,576.wrd            ,577.wrd            ,578.wrd            ,579.wrd              ,580.wrd            ,581.wrd            ,582.wrd            ,583.wrd            ,584.wrd            ,585.wrd            ,586.wrd            ,587.wrd            ,588.wrd            ,589.wrd
1.wrd  ,1.0                 ,0.6393996850223427 ,0.3390963110477493 ,0.5206809575771512 ,0.37995541992086257 ,0.5946331737786975 ,0.17872281930176792   ,0.49665730320579315,0.4184931329092795 ,0.22232861761896971 ,0.6710641038750189 ,0.6294039902524269 ,0.24682092951973333  ,0.5950149685112249 ,0.8487413330497944,0.0                 ,0.8466196751472248 ,0.3743270792918736  ,0.47529638239601435,0.742944304479681 ,0.2611716165524621   ,0.6337104640166557,0.7287026567039621,0.6796802130474545 ,0.6819039875552897,0.7456760248131813,0.7472792180556185,0.7478930265102199 ,0.7498673607938646 ,0.5925022706897083 ,0.5253717134336245 ,0.20856485757498133  ,0.5140802540918866 ,0.21806950857803475 ,0.42757661097897814,0.45230481748233897,0.5487201395462746 ,0.3264877797515494 ,0.45101528629390497,0.045573914201553545,0.31334906623317516,0.3890702447166383 ,0.22657499017942473 ,0.3502719283534914  ,0.5278411821419802 ,0.28367941996929136  ,0.47602333574956857,0.6014334654051419 ,0.5027491318515225 ,0.5662507661367613 ,0.604982912737787  ,0.33884919335823416 ,0.5152690921640499 ,0.5477637047826474 ,0.6848984989413438 ,0.4536201362977228 ,0.5424658833141796 ,0.3711900691653822 ,0.5077663911311423 ,0.42711334772365817,0.5675221366024394 ,0.39524145909599895,0.5346582110021854 ,0.15495328019214183 ,0.3283165585394415  ,0.1117732249571729  ,0.3057804801359455  ,0.2730307483212724 ,0.27320282566461374,0.5009898942470548 ,0.2864664615803615 ,0.30198198216557093,0.13782132042479567 ,0.751341750758405  ,0.41184277213423526 ,0.3445786316740508 ,0.495856328424504  ,0.5364263341748002  ,0.44046273761327825,0.4420739173781817 ,0.5610878015204421 ,0.4383553146006578 ,0.14941562330417513  ,0.3830446158012195 ,0.4899685531801704 ,0.3959756947195693 ,0.4119205395856409 ,0.43758619600466486,0.5311449202900107 ,0.4967508938611843 ,0.505662174714784  ,0.40012814697454946,0.44591405614768054
2.wrd  ,0.42846820639737826 ,1.0                ,0.2479280210942818 ,0.36332700486796565,0.35605201390286545 ,0.48836949972838795,0.0                   ,0.41566704872492155,0.2554624311427217 ,0.25315038788781263 ,0.5453011515921535 ,0.5751195166940475 ,0.2655590270318646   ,0.6468529073135195 ,0.8658274083740859,0.06008116268133479 ,0.8374028424092455 ,0.20990260301749597 ,0.4559112285244509 ,0.5666222018957157,0.10739896242267344  ,0.5314363175653751,0.6542472659245339,0.6131176003117076 ,0.5841152226227042,0.6095576636665268,0.7501442538414761,0.6636776543228768 ,0.5752445018941595 ,0.6371960948915534 ,0.5778542755215763 ,0.1326975209001534   ,0.25301111128544873,0.06845375055790792 ,0.22321422633332488,0.4514110941013292 ,0.20858652414178347,0.1786454983449628 ,0.3040366044136197 ,0.18213563526499044 ,0.37835081996167086,0.21188912945365224,0.2255898921560885  ,0.15137091675105385 ,0.4389786072559301 ,0.03006885205882537  ,0.3691731784558573 ,0.3721479209205919 ,0.4907801407449147 ,0.3873697709421827 ,0.44002310644247145,0.06317798471469926 ,0.48061966400956335,0.2825374281386216 ,0.6609278292580345 ,0.35868686205381095,0.3488268921832721 ,0.548384500104721  ,0.1899672806524263 ,0.094105246406051  ,0.5907694415641027 ,0.4592511120120719 ,0.5027715312081715 ,0.3123376276629548  ,0.1422078464490416  ,0.23370592353441166 ,0.11180067126974591 ,0.15070673244069321,0.32595326612457043,0.4341613500605588 ,0.24896487954618585,0.27984836305654437,0.057280693535923355,0.5740221350145359 ,0.1928379799869141  ,0.38252203690104636,0.48806077100264145,0.4573474068347465  ,0.38587829954094655,0.40158291485244957,0.4457616425263574 ,0.42893493690614937,0.08379804604246377  ,0.28328744695527575,0.41749735980333447,0.35437608871052173,0.5134250182748078 ,0.6319748042578306 ,0.5734405352078488 ,0.5178211310908789 ,0.3304736538752805 ,0.41682013243609983,0.3983184055977873
3.wrd  ,0.5072916487285111  ,0.6726683155544063 ,1.0                ,0.5392013551287602 ,0.32482771509052744 ,0.7198346310450212 ,0.3168051330054028    ,0.45713220816236877,0.3378949083390821 ,0.19650797083035054 ,0.6067122868591475 ,0.5504473245655872 ,0.12448211952105082  ,0.6607922507766878 ,0.8965640951075893,0.08629368181098729 ,0.8123753881567294 ,0.28496155382187927 ,0.543757184933237  ,0.6828620446397646,0.16322136280466837  ,0.7588236782755173,0.6932074051102143,0.6756251575126043 ,0.7104721342514275,0.7643799817221737,0.822365883866771 ,0.7923929591884561 ,0.6946620092101916 ,0.7542780011551299 ,0.6953911755804887 ,0.11186890698569085  ,0.29741272772223326,0.0                 ,0.37327741670194403,0.5902602965512171 ,0.6148904386124247 ,0.24605152681843523,0.5259004105547782 ,0.21112714709427305 ,0.596839490407136  ,0.3669892964055157 ,0.4047794434202745  ,0.1495036041279798  ,0.6103404937708491 ,0.4117901413244641   ,0.5359776533133913 ,0.7314397479379044 ,0.45751398202795224,0.6955366225134723 ,0.5156131509903283 ,0.30615929501438854 ,0.6160143167820125 ,0.6282259142918795 ,0.7283708970165933 ,0.5960269312673769 ,0.6284218401305655 ,0.47344855980881795,0.45108146301076224,0.42457195130844594,0.4650306819204505 ,0.48135486520964166,0.6445160905817084 ,0.19897993976373596 ,0.20625501176468486 ,0.24293978904279812 ,0.3893700499113737  ,0.47937435806360473,0.2867493097148157 ,0.39363982260056374,0.3512926178755823 ,0.33045069980894104,0.1296424682882109  ,0.7310471625119777 ,0.3189072926669919  ,0.3342581809594648 ,0.6182519503860193 ,0.4767062087257078  ,0.4641857779464236 ,0.38728180152341185,0.6526222151808982 ,0.36792400221801724,0.16804737679650483  ,0.48269296800841344,0.3247432741088436 ,0.500322370181537  ,0.45694466802145606,0.5388681584124198 ,0.5718290120285348 ,0.5234979231172275 ,0.5402000468101631 ,0.2994975918821652 ,0.49360448287423375
4.wrd  ,0.45881545686375813 ,0.5162931973669884 ,0.21707776213533203,1.0                ,0.040254437563498   ,0.5440870143454755 ,0.0                   ,0.3773682332593148 ,0.2238151215389954 ,0.19122488578138364 ,0.5373228187634074 ,0.6208076884104523 ,0.01846558515904606  ,0.6491457750388597 ,0.9070989458905483,0.02724008073491746 ,0.8868203805801789 ,0.28502314182748645 ,0.45109960518695913,0.6109989547317007,0.1786298973518725   ,0.7136241720172183,0.6560100241879117,0.6593678096589916 ,0.5377916615863746,0.692548917220536 ,0.750433670263621 ,0.708103924231084  ,0.6437462135749865 ,0.6189850207216425 ,0.6475136119249303 ,0.014933661952733601 ,0.37843393036550455,0.1881639298580139  ,0.27761783521199634,0.4834049083727212 ,0.5783638843707765 ,0.3333316281001266 ,0.2796328770004638 ,0.12428553136364073 ,0.46446164263721157,0.359112714702599  ,0.29347035159744594 ,0.11983157553248902 ,0.3667918387153496 ,0.42993369543422266  ,0.5003563824097298 ,0.4652254624787908 ,0.5703104305104267 ,0.5390034875474863 ,0.4256363887837896 ,0.1591894230038089  ,0.610188090848435  ,0.47335502299328547,0.7452060370966063 ,0.562051107980658  ,0.5781074195625917 ,0.444629077956158  ,0.4365780204866603 ,0.244310058848901  ,0.4550421610129234 ,0.37576509876648434,0.4664324446711593 ,0.2890747079436887  ,0.16991933952340932 ,0.27255125310676764 ,0.28305235678921814 ,0.4347307260578205 ,0.22970988612520615,0.3857780865250737 ,0.2592979710115568 ,0.20465473599403872,0.04167733287204789 ,0.720806087417415  ,0.32587567435883213 ,0.44104912495873017,0.5092897026133338 ,0.17622988642025128 ,0.3540570098324425 ,0.40379488376331685,0.5729298386725885 ,0.2782555471094579 ,0.015734787311474485 ,0.31718680301779356,0.3915990218782329 ,0.48081621140395847,0.6131392546802958 ,0.5560732005288647 ,0.4690031772063732 ,0.39224555453351084,0.43570683893578344,0.37748526551041905,0.49101722236817746
5.wrd  ,0.5864423643073202  ,0.6442854496561887 ,0.23613177582834233,0.40750037850018606,1.0                 ,0.6044480684563849 ,0.3269313604182188    ,0.36046197682416403,0.3629264755273922 ,0.20577496346777835 ,0.532547096577535  ,0.5642831860293953 ,0.1327194397289101   ,0.8184189356538767 ,0.933846285038529 ,0.22106062249667113 ,0.8115027963025865 ,0.3663310784589513  ,0.43260025092904564,0.5857900328675312,0.2661899919847499   ,0.565753080193694 ,0.6865147011887791,0.5991834174217112 ,0.6473713076431511,0.695016041242602 ,0.758473866346216 ,0.7270955999436113 ,0.7387779209428691 ,0.7309413615794131 ,0.6816116126237769 ,0.1893895083778171   ,0.2584282907082567 ,0.0                 ,0.2578013106807915 ,0.624307538017741  ,0.5313062244940608 ,0.4658787816238983 ,0.5418093157811751 ,0.0810257035101114  ,0.6908068009744929 ,0.1845582584919886 ,0.29402682983050854 ,0.21142901358932076 ,0.477492538840123  ,0.34025901478744525  ,0.568729031737123  ,0.6070072952724517 ,0.6370310669538464 ,0.7378446684475984 ,0.48520032046136163,0.13553899756195575 ,0.470718578756392  ,0.6164555332221316 ,0.7509945726028854 ,0.654542401142934  ,0.49770407134972094,0.5463813262820716 ,0.3963117306744922 ,0.4491648498057724 ,0.5262550107507755 ,0.3394548187489568 ,0.6373458750552101 ,0.21327139815686746 ,0.16288621520845303 ,0.15077173566278612 ,0.2357436077308036  ,0.19247111596766042,0.1589526236453005 ,0.304519573839391  ,0.21933536772513906,0.1680369416646117 ,0.17117673091993502 ,0.7015884326301778 ,0.16320365948507876 ,0.5613981070473198 ,0.6528487107959078 ,0.5290515862453015  ,0.4600209214765727 ,0.3416394299632163 ,0.6531213168668615 ,0.3980210058109547 ,0.16116204045586024  ,0.44653678049210765,0.27613117148225996,0.5780428015222134 ,0.5170077027763724 ,0.661864383740438  ,0.5268361190060559 ,0.5742199293200765 ,0.61941960455722   ,0.3030083021752705 ,0.554499596392277
6.wrd  ,0.500681273535447   ,0.5718166444430755 ,0.22381753082167644,0.37564745403137156,0.24770992435804673 ,1.0                ,0.16625556158811272   ,0.44212301627653094,0.2837498778608001 ,0.18459747634093404 ,0.5359649258922123 ,0.38130380440511225,0.1531927028260145   ,0.6688736214125799 ,0.8165108140176522,0.1890567462844417  ,0.8042073217730633 ,0.20805532703856844 ,0.43820018634921987,0.5436952220751737,0.012681611106843516 ,0.5437798051886634,0.6664352557807305,0.6525405820307584 ,0.5549095772480601,0.6901290555235182,0.7495580896993665,0.7435791776796306 ,0.6263210429975224 ,0.6267806796017452 ,0.5593130997108698 ,0.10915472993379283  ,0.15238471317403235,0.0                 ,0.13974383979768012,0.27462874862697795,0.12673677079726686,0.22312828732027445,0.3634770200512929 ,0.29764835689955715 ,0.4593589449845302 ,0.12972612110466852,0.110045548038325   ,0.18954997513243788 ,0.5197993403574173 ,0.3036230196801504   ,0.276667516655432  ,0.3154832169217978 ,0.17088727453505403,0.30236266575362303,0.34313026776168243,0.18585055793778382 ,0.377658591435149  ,0.14657925890140544,0.6220287195292029 ,0.370074946853857  ,0.2541186226055381 ,0.3098529539167266 ,0.16220950372565268,0.07540799143623966,0.4297921682336776 ,0.3411840739531663 ,0.42314756322201896,0.27702472756986274 ,0.17788431270966887 ,0.23046720955171485 ,0.2852494364684418  ,0.17074296952813528,0.351981517458686  ,0.3809953646086073 ,0.21534858580459004,0.23925171871153095,0.08977003921096405 ,0.596037096153686  ,0.05031906712246159 ,0.34298818250655483,0.4286206678002763 ,0.3881793904460108  ,0.30738019270236083,0.36216747219697476,0.4473435976629273 ,0.27086755891104985,0.07174764187311     ,0.3785896187578415 ,0.42174237577624196,0.3208790318567363 ,0.3594135847033818 ,0.5725228003390765 ,0.5174368056748524 ,0.41795074375003505,0.3090077781371191 ,0.3475709763521173 ,0.4211027912934824
7.wrd  ,0.5471013848375328  ,0.5941238885559474 ,0.29294786241655124,0.5452632983120006 ,0.4553862319370564  ,0.6837518763158587 ,1.0                   ,0.4544626011543109 ,0.37745345262002294,0.11872764139155423 ,0.5471693649190763 ,0.5956505990554168 ,0.10589956280581281  ,0.760049954206558  ,0.8985581742651575,0.23678173997072738 ,0.8785612705635709 ,0.23605750733362252 ,0.4924234256110873 ,0.6597492046734201,0.18902341621600804  ,0.6104995786042429,0.7016107938359638,0.7323865425560661 ,0.7093609773418097,0.6704953062049976,0.7849766502803212,0.7409660527760814 ,0.7441983315396752 ,0.6024818049065932 ,0.7568762685199292 ,0.22065364478512828  ,0.2945360729363391 ,0.06640920165464048 ,0.3024910849195065 ,0.6255684764925886 ,0.5965149604931258 ,0.3294226029259315 ,0.5137811825441523 ,0.0                 ,0.5789796120114821 ,0.2775690520673727 ,0.34155260127119436 ,0.025812718276875257,0.5161326070039287 ,0.2349813124925948   ,0.5868381296250049 ,0.6570447279059637 ,0.6275453493761347 ,0.6730727354169401 ,0.598927703289261  ,0.12822805713492202 ,0.6085435590018355 ,0.6420587687451668 ,0.7301534246346371 ,0.659023992961644  ,0.4759577111608194 ,0.5596801021887486 ,0.3329403677513474 ,0.4313519371920974 ,0.542062410499201  ,0.459190360963433  ,0.6281220647316126 ,0.24164075634709392 ,0.07816470898499239 ,0.24049427000081502 ,0.28490204882780656 ,0.2913873587005996 ,0.2580757359275325 ,0.38870211217090966,0.16470096061759942,0.19666105660244648,0.04511283371280672 ,0.7257805339727909 ,0.15015656413345835 ,0.5188586436012554 ,0.6875357980485084 ,0.4929732921147607  ,0.4995557928123765 ,0.4101717965166298 ,0.5739221664705925 ,0.5767749074426207 ,0.15961081196398574  ,0.4780910038400116 ,0.3972781603021396 ,0.5721697742126628 ,0.527494243697015  ,0.6889594735557887 ,0.5549512926500824 ,0.6167364457558616 ,0.6195479444690649 ,0.3969399354242722 ,0.5181714442112451
8.wrd  ,0.6255193947469897  ,0.6681083457929502 ,0.4046156316687558 ,0.464995751923998  ,0.37208265689698894 ,0.6575883466715113 ,0.3394541313248223    ,1.0                ,0.3815729212318999 ,0.6441346514272184  ,0.6742692705629498 ,0.6445179164659964 ,0.24163917405358692  ,0.7675780381234457 ,0.8623513700681482,0.3675930347553854  ,0.82217828769882   ,0.19841227704873854 ,0.670778968118266  ,0.7845708948683736,0.15371380462515916  ,0.8257782939243858,0.7065383860685799,0.8760159054481993 ,0.7751671193535536,0.7997511228200883,0.89257783084701  ,0.8485883892904558 ,0.7251833887355368 ,0.7806480901403764 ,0.7491993529484237 ,0.13658766549568813  ,0.4990655687367207 ,0.37734200917340044 ,0.5039451178544722 ,0.26994322952977956,0.5268899792679929 ,0.33669009641917946,0.5121927854127428 ,0.0                 ,0.5119663668164536 ,0.6230547979258394 ,0.5151710059685434  ,0.17148181705650867 ,0.5938575482877732 ,0.44079549350482916  ,0.38704632824703644,0.6446262384039743 ,0.6355556324862248 ,0.5556730833147996 ,0.5194153582675007 ,0.24877279986245582 ,0.5232122116512049 ,0.5147067649355762 ,0.8041821984596961 ,0.40251194312276417,0.5476577399130196 ,0.47735287482234234,0.5157469871824616 ,0.4753590791515252 ,0.6527995773597113 ,0.4801065531790605 ,0.6527413799548706 ,0.5813041891513113  ,0.26322613480939383 ,0.48196680464246866 ,0.5175179279571113  ,0.5788470542818438 ,0.4217271669005861 ,0.7010204546204972 ,0.3561426771708063 ,0.5603124099529344 ,0.4479838693841358  ,0.712472048590833  ,0.5357770909937734  ,0.6656832987702908 ,0.7583030940044455 ,0.5107691381242168  ,0.6705475167046626 ,0.4974945588117432 ,0.6192973343377636 ,0.49162703565460153,0.3729758946960071   ,0.6427991220788387 ,0.5190811850161101 ,0.6701563387970433 ,0.550524380290731  ,0.6369093148866518 ,0.5886580807191171 ,0.6106798856183171 ,0.5566200529842207 ,0.5552592431835508 ,0.5020715570620391
9.wrd  ,0.6004949564643665  ,0.6692809059039467 ,0.3036521396045242 ,0.5873233104180875 ,0.3657136790382912  ,0.72349751325154   ,0.33544942351380125   ,0.4987401244227738 ,1.0                ,0.25229308499928216 ,0.6603041121941227 ,0.6320830671673636 ,0.15722138069914082  ,0.7681753624842576 ,0.8957470495378291,0.0                 ,0.7970849197591652 ,0.18684618088379557 ,0.47881472182731544,0.7740298153823801,0.23985313150065657  ,0.7396827159286603,0.7226055705701087,0.7192183078532459 ,0.7258928944365537,0.7095477822986299,0.7528305148667314,0.7400580280444183 ,0.7481441930971406 ,0.7273446236493792 ,0.6938776163243385 ,0.1857268633257385   ,0.34573511929193457,0.05847408267687815 ,0.3588309169338427 ,0.6755550557396346 ,0.6395635035047159 ,0.3391561766461888 ,0.4244360393121527 ,0.09181403114936082 ,0.5224482015563428 ,0.264014583528688  ,0.3694780424040278  ,0.13387040184409194 ,0.5586669948320762 ,0.39639552662804     ,0.533117117929997  ,0.6714954140733393 ,0.6669587815753204 ,0.677334561021398  ,0.46737938859640304,0.08138247867061776 ,0.5692018563903054 ,0.5891288528486083 ,0.6427057736854194 ,0.6439136175492526 ,0.5650887777345975 ,0.5520397982928854 ,0.4309397175643408 ,0.35871823934756075,0.5579255931046526 ,0.4684254857987491 ,0.7270687028739016 ,0.332812967531834   ,0.23456165285961705 ,0.13105259833771798 ,0.2924143236974105  ,0.2953005051365034 ,0.12838976453401862,0.41197341889383754,0.21669678641601575,0.3308966333832821 ,0.1793963686134633  ,0.7767701766215387 ,0.18040519862578863 ,0.44353176937914296,0.6428474936427687 ,0.5220514878776572  ,0.5424270533081055 ,0.48065574291474156,0.6017005372862984 ,0.4671208056419437 ,0.04880418980064316  ,0.4421880943336608 ,0.4692375163339003 ,0.512494978267437  ,0.46398923015925797,0.6503440754457289 ,0.5831871390014722 ,0.5819805604944013 ,0.476953552366832  ,0.3182910154839642 ,0.48782615467850043
10.wrd ,0.6122670627800413  ,0.6740395605438487 ,0.34453963724108994,0.5722361712846787 ,0.36783142091591137 ,0.598547050969844  ,0.12192854534880859   ,0.7245414815912512 ,0.3956813001276879 ,1.0                 ,0.5414445782228436 ,0.6574786686739726 ,0.16072899337357183  ,0.8292094902062184 ,0.9381369285339791,0.2788751003714698  ,0.8847469365006841 ,0.23936370631753756 ,0.642817427333713  ,0.7899828718170336,0.026025432799696158 ,0.781723185780115 ,0.825310273148204 ,0.8284962565472445 ,0.8086472872367982,0.7828246589835729,0.850172288660745 ,0.8133468870604835 ,0.7907187078064147 ,0.7504038351524648 ,0.7202286829819328 ,0.017121032410892578 ,0.24257834673185752,0.07264657481134373 ,0.4748591265237636 ,0.3247489271495658 ,0.6554647736379349 ,0.21978885533059245,0.47775545763404104,0.10507037119135965 ,0.5448807351735354 ,0.2929357087533292 ,0.41840077909821927 ,0.0701732086440845  ,0.6109936885800507 ,0.37052657758718377  ,0.46650137376964207,0.6852923156651876 ,0.5241542612063927 ,0.3975254722099414 ,0.6140645096810712 ,0.12341692935368986 ,0.5892908213360848 ,0.3885706206799925 ,0.8330233115504401 ,0.49288563568752897,0.5778796307277831 ,0.5734438480442859 ,0.43284798321871476,0.34619542917318646,0.5485302444248885 ,0.5012630593182956 ,0.6275602104849554 ,0.22507085556614959 ,0.15711411363207883 ,0.2808397634223663  ,0.3716853922179655  ,0.3139046988765488 ,0.41314180584291316,0.5089762347043522 ,0.32662945473781935,0.4524441762849172 ,0.1933895662875803  ,0.6915489694830457 ,0.434570952016458   ,0.6092561036086441 ,0.7170318093691508 ,0.4055670389092405  ,0.5936961936113976 ,0.5965518405269429 ,0.669078239432431  ,0.31865114716689624,0.0                  ,0.5255419621030972 ,0.40071600347182723,0.5990093028726247 ,0.5303702308295184 ,0.612237296195814  ,0.7120441462690222 ,0.6106888584839598 ,0.4618978680961421 ,0.48189242381117403,0.49598423710737716
