,63.csv,64.csv,65.csv,66.csv,67.csv,68.csv,69.csv,70.csv,71.csv,72.csv,73.csv,74.csv,75.csv,76.csv,77.csv,78.csv,79.csv,80.csv,81.csv,82.csv,83.csv,84.csv,85.csv,86.csv,87.csv,88.csv,89.csv,90.csv,91.csv,92.csv,93.csv,156.csv,157.csv,158.csv,159.csv,160.csv,161.csv,162.csv,163.csv,164.csv,165.csv,166.csv,167.csv,168.csv,169.csv,170.csv,171.csv,172.csv,173.csv,174.csv,175.csv,176.csv,177.csv,178.csv,179.csv,180.csv,181.csv,182.csv,183.csv,184.csv,185.csv,186.csv,621.csv,622.csv,623.csv,624.csv,625.csv,626.csv,627.csv,628.csv,629.csv,630.csv,631.csv,632.csv,633.csv,634.csv,635.csv,636.csv,637.csv,638.csv,639.csv,640.csv,641.csv,642.csv,643.csv,644.csv,645.csv,646.csv,647.csv,648.csv,649.csv,650.csv,651.csv
63.csv,1.0,0.8082148628230803,0.7475181380277658,0.7593679978770755,0.8212287467291404,0.7128230276001947,0.690675916444982,0.725609178588642,0.0,0.8895853958403172,0.9101493869241493,0.7663269604450993,0.7554883581263683,0.7402487506785874,0.7897121733796515,0.8340621885044344,0.7074801357812217,0.735927651475256,0.7441988129348127,0.7886085200030792,0.8755981484770627,0.886968631963821,0.8031391222792345,0.8770108948561334,0.8543703772430054,0.9008452909866835,0.8372074671992824,0.8290870463870512,0.8923647981546918,0.8025061484909676,0.9700189065808097,0.9165223833406728,0.937859085272799,0.7739695265400173,0.8680750226919249,0.9116370890322227,0.8490865951851039,0.7572297081721133,0.8827358162657584,0.8334309782602609,0.8173130183577797,0.8684584961882335,0.7658213479129332,0.8279797891712564,0.6597873077701618,0.8875687857378817,0.7875564253915479,0.7873430271781573,0.8227043939132324,0.7255334374928321,0.7567465511809929,0.8308878854799604,0.8878148211327794,0.8400263166961681,0.8895016071885206,0.8683197723849209,0.7863510026151184,0.8825712414349108,0.7620673134713436,0.9421733142245551,0.8354994983057088,0.800147536713746,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466,0.654306866147466
64.csv,0.8113188864555798,1.0,0.9023772366808576,0.9148071467936055,0.9371088816063349,0.852431704624009,0.8176587624778102,0.8719296561287961,0.0,0.9143954522186435,0.8138289939251016,0.912920192493746,0.8614259082691635,0.9117748247653618,0.9159359516679831,0.939418157926996,0.8401724022332115,0.8875595023855904,0.9232385416849977,0.8862857473955964,0.7005152686323025,0.8614072697735414,0.6318374596627547,0.7189901445596129,0.6895862604016926,0.8076093392065492,0.6691070591876225,0.664052165154879,0.7273757805145238,0.630286254845696,0.8049629764435643,0.8736368471662971,0.8494589282353608,0.8514025249172243,0.9183471948171628,0.8271586774889648,0.8719524231127491,0.8841093982750504,0.8841064770675098,0.8645383516563684,0.8961267267096069,0.8759345770590924,0.8357351559042665,0.8653574848853055,0.7699637871359032,0.9077095223840334,0.9106451817748142,0.8784658752970179,0.9281142717586071,0.859820839911921,0.8681532468382308,0.6474394719057854,0.7209577644812115,0.6707115411452311,0.9142519537321756,0.6965185968282311,0.8989502195097098,0.7380389093758346,0.5895841392220955,0.7819658908218861,0.6622539470325132,0.6305030432672074,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531,0.7704804877880531
65.csv,0.736359501509533,0.8963857343568529,1.0,0.9711926558384176,0.8898801866210739,0.9000390893273561,0.853241936552024,0.9106671509146292,0.0,0.8426782591306258,0.7725939203362223,0.9292991525246621,0.8709492596693169,0.9300275882399032,0.898543820000418,0.901961197641771,0.8729372826859181,0.9575452410399848,0.9389911608898055,0.8772458484241041,0.6383594514646032,0.8202648294494612,0.535616353020983,0.6282991789926473,0.5940003983358089,0.71198662729795,0.5793953492833952,0.5681233834339918,0.6335416280732798,0.5340048853879947,0.72774732014523,0.7996459858069489,0.7786949663384714,0.856242321499912,0.8497793286493622,0.7604970642100856,0.8651939666517751,0.894580662784801,0.8285862845850138,0.8414804269232535,0.8696250163632938,0.8372199774517507,0.8580128450403404,0.8628289386140082,0.8030227898873639,0.8303400571274192,0.934651598790193,0.8695101933072439,0.9061427353596593,0.8872228300928237,0.8773599668999423,0.5644049171905671,0.632631096992986,0.578449538762815,0.8303596694342398,0.6066186922923047,0.9218346013276946,0.6425238622542773,0.49144016161926507,0.7130182331031103,0.5778089757026232,0.5320059973080606,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502,0.7131647997679502
66.csv,0.7530886427064789,0.9111459224286099,0.9716920145525321,1.0,0.90575340861496,0.9111313042588485,0.864207510741031,0.918393986620765,0.0,0.8600391097643255,0.7820696027540133,0.9492799538306093,0.8836334550203087,0.9418767303602174,0.9075809790356486,0.9179335470641721,0.8810614133673428,0.9628332819040284,0.9519192379556549,0.8898565860479694,0.6517874312773753,0.8252398576432749,0.5543074531868949,0.6433301579773354,0.6115125349953074,0.7257705861266802,0.5947362277788666,0.5853546412553832,0.6513659924689656,0.5530362593823972,0.7423857897868262,0.8185128125007136,0.7964538469422833,0.8708215628901912,0.8674699892514892,0.7775133952892042,0.8705326523179228,0.9113774936966982,0.8442686937443226,0.8543228976329549,0.8898996636071267,0.8495612105196193,0.8673924884214977,0.8755447446833446,0.8126623128957084,0.8455132320814501,0.9511161677505856,0.886995348138622,0.9174589066340078,0.8879827467265107,0.8868030824615396,0.5818210542693365,0.6492803238442404,0.5950502541740215,0.8464408594603251,0.6243930482793248,0.9239533920471601,0.6578991799470304,0.5109935277273501,0.7271325328289622,0.5932257775884798,0.5513486335311433,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656,0.7234724955541656
67.csv,0.82483557708783,0.9373639946469751,0.8966687353252354,0.9100033823574263,1.0,0.8787531487468582,0.8544116873206391,0.8998647334121743,0.0,0.9296455979496546,0.823847912522525,0.935565463943292,0.9134101933145129,0.9160267115540539,0.9626758943534933,0.9657779899409394,0.8774654722125197,0.8975423348329687,0.9130975814487892,0.9449314104608972,0.7173607567249033,0.8623383673607031,0.6446400430973442,0.7208669229265363,0.6970972817409216,0.7976605227481568,0.6797846443349593,0.6736038191932587,0.7349632904063081,0.6432273355424678,0.8189446018949436,0.8998996367760097,0.8767602245203056,0.9088694853279301,0.9523446926036173,0.866189432841173,0.9047101801095557,0.924982285664186,0.9279464762450083,0.9246396747695822,0.9520548471543337,0.92522512113068,0.8906726817316941,0.9159837866480365,0.8139721546286247,0.9291831509718087,0.9383063528396495,0.9350739474670406,0.969789930702221,0.8971406156153526,0.9194452748042602,0.6631559837855823,0.7384414659979073,0.6782704501216525,0.9238295163680278,0.7138885722568604,0.9378741948763563,0.7392328480962216,0.6032900323167925,0.8078209092690863,0.6685607842120157,0.6393658203917625,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366,0.7093945524709366
68.csv,0.7167993569671545,0.8520809189962618,0.9055954586235871,0.9145905851194939,0.8779699262911551,1.0,0.9530098135402614,0.9659030158251426,0.0,0.8179810102068638,0.7357901941310798,0.9378828438693035,0.9284142423512403,0.929157715233521,0.8962496239774385,0.8721484598115192,0.9557164608838955,0.9454968116570939,0.9146865540073431,0.9038356845856932,0.6201658139441726,0.7685184273135375,0.5296925395936598,0.6034862431956374,0.5797872632427895,0.6773935936530279,0.5637915496760024,0.5561252098048985,0.618473452579536,0.5287874718665068,0.7060924336700614,0.7901246112980604,0.7693384611413201,0.9085868499740812,0.8364442533484604,0.7634268057358512,0.8361360575220497,0.9457321636115518,0.8225808881444372,0.8557066773536817,0.8897519932863371,0.8311565431567367,0.9037882545985079,0.8692881621121903,0.9026060208749349,0.8092213873333647,0.9199696880776292,0.9100658965125816,0.880861789982337,0.924957875005396,0.9225769666749778,0.5557240253424481,0.6238169308130659,0.562264315134477,0.8046086301822604,0.6005273985023827,0.9051146705527157,0.6190285390959668,0.4891953762783513,0.7010342901098197,0.5571180162717806,0.5238860179457555,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013,0.6637802218904013
69.csv,0.7031948973617481,0.8221601665731892,0.8651417062300218,0.8730169671833399,0.8574274481338913,0.9542785311717857,1.0,0.9404510231910691,0.0,0.7973670813933065,0.7152704889529102,0.9047745639800363,0.9311068852721387,0.8970474068428642,0.879004135970811,0.8452416150749116,0.9680005497680557,0.9029085314043133,0.8792042821198292,0.8965237673782013,0.6104639659927399,0.7436070867475689,0.5273731705738537,0.5921384732156356,0.5730317442420536,0.6606010365936325,0.5578624979602225,0.5512675217131486,0.610154164692063,0.5265750317242212,0.6936407495214232,0.7772143407076952,0.7581380548857055,0.9121091826258525,0.8193714176462217,0.7592505343591824,0.8153940918367911,0.9304200247298943,0.8107481385684276,0.8506027891391812,0.8773097618362702,0.8198149078312263,0.9053887935673991,0.8559930628044464,0.9490008766252552,0.7925474247555658,0.8871695031463258,0.9048206782858752,0.8563639513869863,0.9211990126748535,0.9217062037345772,0.55119597315769,0.6194670134041291,0.555148825738965,0.7856231445105313,0.597274494108496,0.8811639792596213,0.6082457286065324,0.4888856857453261,0.6935564713326167,0.5477273154859696,0.5199856425454805,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852,0.6327244983356852
70.csv,0.7307091787911535,0.8722423062636858,0.9160383013635517,0.9219475659823365,0.8997023375440167,0.9660669172324278,0.9390927983527138,1.0,0.0,0.8339032890009418,0.746257696407624,0.9520824128362033,0.9423880857106779,0.9506450756614736,0.9242453615532802,0.8882846844677278,0.9628516593706166,0.9493949959595492,0.9319718447331755,0.9244672079874008,0.6320365186110227,0.7839356824036886,0.5474826202558745,0.6220924367454546,0.5981622139856806,0.6982399074563266,0.5827480470984681,0.575166328001824,0.6360690838628467,0.5462115892599135,0.7229514815174228,0.80531106803604,0.7840061550876767,0.9150781322388042,0.8545763005697842,0.7793615065755735,0.8482623960106032,0.9594772960732987,0.8393610050165962,0.8704767081506937,0.901489973040408,0.8477203787138419,0.9066263743045575,0.8763349295407499,0.8911304702103022,0.8293918521692563,0.9296284746548105,0.9221832818746257,0.9003746997904469,0.9544379004077549,0.9443984584168642,0.5702327846983308,0.6422691448817389,0.5802432006494187,0.8239641822536417,0.6180542579855743,0.9255386178617643,0.6391738679806723,0.5066917604736056,0.7172670681242906,0.5731507588192563,0.5411821726943715,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755,0.6742984323404755
71.csv,0.08778715822883432,0.07278019666529345,0.12639674813202095,0.11098620620883892,0.06900368087318176,0.07497907039115281,0.04931081447108954,0.07051109342691397,1.0,0.08157214761701226,0.16621890602924938,0.07726853435382575,0.05759288921054351,0.0662575265436901,0.06979567709975798,0.09512990819991374,0.05451369442523757,0.10553573514853354,0.07354575462620605,0.06463323122693243,0.1401932136176013,0.1575266080069676,0.014573199288322125,0.06828163080018246,0.03347162370019019,0.062336745525168324,0.055330048612672766,0.02706559699565103,0.04015566428528872,0.013222689503907925,0.08581901435363004,0.06326105635523549,0.07063117642491268,0.0666521875202909,0.06677341339073117,0.055509986734504135,0.14460843197228002,0.05928008535451612,0.07529973932846767,0.08114393110507145,0.06418225940860389,0.09177422732189522,0.09446319843344597,0.11109826026354952,0.03609472877650377,0.06876700308357941,0.10391072743387697,0.05842492198669669,0.09661248152339552,0.06731001238583278,0.06122200089531726,0.06912946083626248,0.04003012640521708,0.05055211557731154,0.06885736661656594,0.03223210195288162,0.10889712806170004,0.04796604246189118,0.0,0.08675126525399501,0.08956799600414023,0.01308774900946963,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303,0.05039735253648303
72.csv,0.8903325725889013,0.9135759746914922,0.8503564715982663,0.8645215716313897,0.9286828146889363,0.816674358570412,0.7902492570845822,0.8319029089859076,0.0,1.0,0.8781668892352378,0.874512374973453,0.8514453330314953,0.8512299816967803,0.8934831747365506,0.940827039784155,0.8094385915951678,0.8414737020665797,0.8550051638673727,0.8847389101979598,0.7764837914347924,0.90623072594889,0.7021360444972675,0.7823963161616049,0.7567004583819661,0.8550037194920319,0.7375932294978602,0.7313350795560987,0.7958982173949838,0.701012761385422,0.8807377056153697,0.9548389851427923,0.9330367837432617,0.8602949177130146,0.9691166305658993,0.9048811826449877,0.9112147456062072,0.860634868354617,0.9514375992511036,0.904802392636181,0.9124153642484257,0.9335396315050248,0.8466032442729585,0.9011685587174851,0.7518163259458541,0.9699726754604079,0.8903274347980199,0.8816684738420985,0.9259797882667258,0.8270526685036094,0.8541439652922653,0.7232538532858221,0.7938586072479419,0.7385951531423172,0.9743455131185735,0.7702222340221084,0.8844063292190171,0.79821123360752,0.6601572522077379,0.8616975414592181,0.7309658359568494,0.6988746173853446,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415,0.713156127418415
